"source_id","ingest_mode","title","creator_or_speaker","source_type","first_published","date_of_event","url_or_local_reference","language","grade","rights_or_permission","privacy_level","content_checksum","coverage_topics","location_marker","transcript_status","notes"
"P-0480-001","web","论语·学而","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/xue-er","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","学习；孝；仁；朋友","Book 1","cataloged; selected passages reviewed","编纂层次不等于孔子生前逐字记录。"
"P-0480-002","web","论语·为政","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/wei-zheng","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","政治；德治；学习；孝","Book 2","cataloged; selected passages reviewed","比较德治与刑罚时保留历史语境。"
"P-0480-003","web","论语·八佾","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/ba-yi","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","礼；等级；音乐；名分","Book 3","cataloged; selected passages reviewed","礼制论述容易被后世等级秩序重新解释。"
"P-0480-004","web","论语·里仁","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/li-ren","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","仁；选择；君子；贫困","Book 4","cataloged; selected passages reviewed","把仁理解成关系中的持续选择，而不是抽象善心。"
"P-0480-005","web","论语·公冶长","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/gong-ye-chang","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","评价；学习；政治任用；弟子","Book 5","cataloged; selected passages reviewed","人物评价含具体弟子语境，不能抽成性格测试。"
"P-0480-006","web","论语·雍也","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/yong-ye","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","仁；教育；中庸；贫困","Book 6","cataloged; selected passages reviewed","因材施教和中庸不是无原则折中。"
"P-0480-007","web","论语·述而","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/shu-er","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","学习；传承；教学；志向","Book 7","cataloged; selected passages reviewed","“述而不作”是自我定位，不等于没有创造。"
"P-0480-008","web","论语·泰伯","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/tai-bo","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","德性；责任；古代；士","Book 8","cataloged; selected passages reviewed","古代典范需要与现实行为结合。"
"P-0480-009","web","论语·子罕","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/zi-han","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","知识；志向；困境；天","Book 9","cataloged; selected passages reviewed","记录孔子在困境、名声和学习上的自我呈现。"
"P-0480-010","web","论语·乡党","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/xiang-dang","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","身体；仪式；日常；礼","Book 10","cataloged; selected passages reviewed","可能是礼仪规范或人物肖像，证据层级需降低。"
