"source_id","ingest_mode","title","creator_or_speaker","source_type","first_published","date_of_event","url_or_local_reference","language","grade","rights_or_permission","privacy_level","content_checksum","coverage_topics","location_marker","transcript_status","notes"
"P-1907-001","web","人的历史","鲁迅","essay","1907","1907","https://zh.wikisource.org/zh-hans/人的历史","zh","A","public-domain work; transcription terms apply","public","","evolution; science; human history","complete work","cataloged; selected sections reviewed","Early scientific writing; avoid reading later positions backward into it."
"P-1907-002","web","科学史教篇","鲁迅","essay","1907","1907","https://zh.wikisource.org/zh-hans/科学史教篇","zh","A","public-domain work; transcription terms apply","public","","science; education; intellectual history","complete work","cataloged; selected sections reviewed","Early intellectual context."
"P-1908-001","web","文化偏至论","鲁迅","essay","1908","1908","https://zh.wikisource.org/zh-hans/文化偏至论","zh","A","public-domain work; transcription terms apply","public","","individual; modernity; culture","complete work","cataloged; selected sections reviewed","Early classical-Chinese essay; later views changed."
"P-1908-002","web","摩罗诗力说","鲁迅","essay","1908","1908","https://zh.wikisource.org/zh-hans/摩罗诗力说","zh","A","public-domain work; transcription terms apply","public","","literature; resistance; individual voice","complete work","cataloged; selected sections reviewed","Early literary manifesto."
"P-1918-001","web","狂人日记","鲁迅","short story","1918","1918-04","https://zh.wikisource.org/zh-hans/狂人日记","zh","A","public-domain work; transcription terms apply","public","","tradition; violence; complicity; children","complete work","full page analyzed","Fictional voice; do not equate narrator and author."
"P-1918-002","web","我之节烈观","鲁迅","essay","1918","1918-07-31","https://zh.wikisource.org/zh-hans/我之节烈观","zh","A","public-domain work; transcription terms apply","public","","women; morality; social coercion","complete work","full page analyzed","Direct social argument."
"P-1919-001","web","孔乙己","鲁迅","short story","1919","1919-03","https://zh.wikisource.org/zh-hans/孔乙己_(1948年本)","zh","A","public-domain work; transcription terms apply","public","","class; education; spectatorship; dignity","complete work","full page analyzed","Fiction; narrator position matters."
"P-1919-002","web","药","鲁迅","short story","1919","1919-05","https://zh.wikisource.org/zh-hans/药_(鲁迅)","zh","A","public-domain work; transcription terms apply","public","","superstition; revolution; spectatorship","complete work","cataloged; selected sections reviewed","Use collection edition if page variant differs."
"P-1919-003","web","我们现在怎样做父亲","鲁迅","essay","1919","1919-11","https://zh.wikisource.org/zh-hans/我们现在怎样做父亲","zh","A","public-domain work; transcription terms apply","public","","family; children; authority; emancipation","complete work","full page analyzed","Central family reform text."
"P-1921-001","web","阿Q正传","鲁迅","novella","1921","1921-12 to 1922-02","https://zh.wikisource.org/zh-hans/阿Q正传","zh","A","public-domain work; transcription terms apply","public","","self-deception; status; revolution; humiliation","complete work","selected chapters analyzed","Do not reduce to one catchphrase."
"P-1921-002","web","故乡","鲁迅","short story","1921","1921","https://zh.wikisource.org/zh-hans/故乡","zh","A","public-domain work; transcription terms apply","public","","class; estrangement; hope; action","complete work","full page analyzed","Fiction with reflective narrator."
"P-1922-001","web","呐喊·自序","鲁迅","preface / autobiography","1922","1922-12-03","https://zh.wikisource.org/zh-hans/呐喊","zh","A","public-domain work; transcription terms apply","public","","hope; loneliness; writing; social awakening","preface","full page analyzed","Strong first-person source but still retrospective."
"P-1922-002","web","社戏","鲁迅","short story","1922","1922","https://zh.wikisource.org/zh-hans/社戏","zh","A","public-domain work; transcription terms apply","public","","childhood; community; memory","complete work","cataloged; selected sections reviewed","Balances polemical corpus with warmth and memory."
"P-1924-001","web","祝福","鲁迅","short story","1924","1924-02-07","https://zh.wikisource.org/zh-hans/祝福","zh","A","public-domain work; transcription terms apply","public","","women; ritual; exclusion; collective responsibility","complete work","full page analyzed","Fiction; collective mechanisms are central."
"P-1924-002","web","娜拉走后怎样","鲁迅","lecture / essay","1924","1923-12-26","https://zh.wikisource.org/zh-hans/娜拉走后怎样","zh","A","public-domain work; transcription terms apply","public","","women; economic power; emancipation","complete work","full page analyzed","Lecture later published in 1924."
"P-1924-003","web","未有天才之前","鲁迅","lecture / essay","1924","1924","https://zh.wikisource.org/zh-hans/未有天才之前","zh","A","public-domain work; transcription terms apply","public","","culture; institutions; youth; genius myth","complete work","full page analyzed","Important anti-hero/infrastructure argument."
"P-1924-004","web","论雷峰塔的倒掉","鲁迅","essay","1924","1924","https://zh.wikisource.org/zh-hans/论雷峰塔的倒掉","zh","A","public-domain work; transcription terms apply","public","","tradition; oppression; symbolic order","complete work","cataloged; selected sections reviewed","Read with later sequel."
"P-1925-001","web","灯下漫笔","鲁迅","essay","1925","1925-04-29","https://zh.wikisource.org/zh-hans/灯下漫笔","zh","A","public-domain work; transcription terms apply","public","","slavery; hierarchy; civilization; youth","complete work","full page analyzed","Central social diagnosis."
"P-1925-002","web","论睁了眼看","鲁迅","essay","1925","1925-07-22","https://zh.wikisource.org/zh-hans/论睁了眼看","zh","A","public-domain work; transcription terms apply","public","","truth; denial; literature; reform","complete work","full page analyzed","Direct argument for facing painful reality."
"P-1925-003","web","论“费厄泼赖”应该缓行","鲁迅","essay","1925","1925-12-29","https://zh.wikisource.org/zh-hans/论“费厄泼赖”应该缓行","zh","A","public-domain work; transcription terms apply","public","","power; fairness; strategy; recurrence","complete work","full page analyzed","Highly contextual; do not universalize indiscriminately."
"P-1925-004","web","这样的战士","鲁迅","prose poem","1925","1925-12-14","https://zh.wikisource.org/zh-hans/这样的战士","zh","A","public-domain work; transcription terms apply","public","","labels; empty authority; resistance","complete work","full page analyzed","Symbolic prose poem, not literal policy."
"P-1925-005","web","聪明人和傻子和奴才","鲁迅","prose poem","1925","1925-12-26","https://zh.wikisource.org/zh-hans/聪明人和傻子和奴才","zh","A","public-domain work; transcription terms apply","public","","complaint; action; complicity; hierarchy","complete work","full page analyzed","Dramatic allegory."
"P-1925-006","web","过客","鲁迅","prose drama","1925","1925","https://zh.wikisource.org/zh-hans/过客","zh","A","public-domain work; transcription terms apply","public","","action; destination; refusal; endurance","complete work","full page analyzed","Poetic ambiguity must be preserved."
"P-1925-007","web","希望","鲁迅","prose poem","1925","1925-01-01","https://zh.wikisource.org/zh-hans/希望_(鲁迅)","zh","A","public-domain work; transcription terms apply","public","","hope; despair; action; youth","complete work","full page analyzed","Do not reduce to optimism/pessimism binary."
"P-1925-008","web","导师","鲁迅","essay","1925","1925","https://zh.wikisource.org/zh-hans/导师","zh","A","public-domain work; transcription terms apply","public","","youth; authority; self-direction","complete work","cataloged; selected sections reviewed","Useful for teacher persona limits."
"P-1925-009","web","伤逝","鲁迅","short story","1925","1925","https://zh.wikisource.org/zh-hans/伤逝","zh","A","public-domain work; transcription terms apply","public","","love; emancipation; economy; responsibility","complete work","selected sections analyzed","Fiction and unreliable self-account require care."
"P-1926-001","web","记念刘和珍君","鲁迅","memorial essay","1926","1926-04-12","https://zh.wikisource.org/zh-hans/纪念刘和珍君","zh","A","public-domain work; transcription terms apply","public","","violence; memory; youth; public speech","complete work","full page analyzed","Page title variants exist."
"P-1926-002","web","二十四孝图","鲁迅","memoir / essay","1926","1926","https://zh.wikisource.org/zh-hans/二十四孝图","zh","A","public-domain work; transcription terms apply","public","","children; filial piety; coercive morality","complete work","full page analyzed","Memoir combines child viewpoint and later critique."
"P-1926-003","web","父亲的病","鲁迅","memoir / essay","1926","1926","https://zh.wikisource.org/zh-hans/父亲的病","zh","A","public-domain work; transcription terms apply","public","","medicine; fraud; grief; filial duty","complete work","full page analyzed","Personal memory; avoid extending beyond text."
"P-1926-004","web","藤野先生","鲁迅","memoir / essay","1926","1926","https://zh.wikisource.org/zh-hans/藤野先生","zh","A","public-domain work; transcription terms apply","public","","teacher; dignity; prejudice; learning","complete work","full page analyzed","Important counterweight to purely combative persona."
"P-1927-001","web","关于知识阶级","鲁迅","speech","1927","1927-10-25","https://zh.wikisource.org/zh-hans/关于知识阶级","zh","A","public-domain work; transcription terms apply","public","","intellectuals; class distance; public responsibility","complete work","full page analyzed","Speech record; publication context retained."
