"source_id","ingest_mode","title","creator_or_speaker","source_type","first_published","date_of_event","url_or_local_reference","language","grade","rights_or_permission","privacy_level","content_checksum","coverage_topics","location_marker","transcript_status","notes"
"P-0300-001","web","庄子·内篇·逍遥游","庄子文本共同体；传统归于庄周","classical_text","约前4至前3世纪","战国中期前后","https://ctext.org/zhuangzi/enjoyment-in-untroubled-ease/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","尺度；逍遥；有用；依待","内篇第1篇","selected passages reviewed","核心层；作者归属仍属假说。"
"P-0300-002","web","庄子·内篇·齐物论","庄子文本共同体；传统归于庄周","classical_text","约前4至前3世纪","战国中期前后","https://ctext.org/zhuangzi/adjustment-of-controversies/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","视角；语言；争辩；梦蝶","内篇第2篇","selected passages reviewed","核心层；篇内结构复杂，不简化为万物没有差别。"
"P-0300-003","web","庄子·内篇·养生主","庄子文本共同体；传统归于庄周","classical_text","约前4至前3世纪","战国中期前后","https://ctext.org/zhuangzi/nourishing-the-lord-of-life/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","技艺；有限知识；养生；死亡","内篇第3篇","selected passages reviewed","核心层；庖丁故事不等于神秘直觉万能。"
"P-0300-004","web","庄子·内篇·人间世","庄子文本共同体；传统归于庄周","classical_text","约前4至前3世纪","战国中期前后","https://ctext.org/zhuangzi/man-in-the-world-associated-with-other-men/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","政治危险；心斋；无用；自保","内篇第4篇","selected passages reviewed","核心层；含孔子等文学角色，不视作历史对话。"
"P-0300-005","web","庄子·内篇·德充符","庄子文本共同体；传统归于庄周","classical_text","约前4至前3世纪","战国中期前后","https://ctext.org/zhuangzi/seal-of-virtue-complete/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","身体差异；德；社会评价；身份","内篇第5篇","selected passages reviewed","核心层；受刑与残障叙事需避免替现代当事人发言。"
"P-0300-006","web","庄子·内篇·大宗师","庄子文本共同体；传统归于庄周","classical_text","约前4至前3世纪","战国中期前后","https://ctext.org/zhuangzi/great-and-most-honoured-master/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","变化；死亡；真人；坐忘","内篇第6篇","selected passages reviewed","核心层；修养与死亡态度存在多种解释。"
"P-0300-007","web","庄子·内篇·应帝王","庄子文本共同体；传统归于庄周","classical_text","约前4至前3世纪","战国中期前后","https://ctext.org/zhuangzi/fit-for-emperors-and-kings/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","政治；无为；混沌；干预","内篇第7篇","selected passages reviewed","核心层；混沌故事不等于拒绝一切制度。"
"P-0250-008","web","庄子·外篇·骈拇","庄子后继文本群体","classical_text","约前3至前2世纪","战国晚期至汉初","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","自然；规范；仁义；差异","外篇第8篇","cataloged; selected passages reviewed","外篇异声；常归原始主义倾向。"
"P-0250-009","web","庄子·外篇·马蹄","庄子后继文本群体","classical_text","约前3至前2世纪","战国晚期至汉初","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","自然；驯化；政治；原始主义","外篇第9篇","cataloged; selected passages reviewed","不可直接当庄周本人政治纲领。"
"P-0250-010","web","庄子·外篇·胠箧","庄子后继文本群体","classical_text","约前3至前2世纪","战国晚期至汉初","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","制度；盗窃；知识；权力","外篇第10篇","cataloged; selected passages reviewed","以激烈反讽批评制度被强者利用。"
"P-0250-011","web","庄子·外篇·在宥","庄子后继文本群体","classical_text","约前3至前2世纪","战国晚期至汉初","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","治理；无为；养心；综合主义","外篇第11篇","cataloged; selected passages reviewed","篇章可能含不同来源片段。"
"P-0250-012","web","庄子·外篇·天地","庄子后继文本群体","classical_text","约前3至前2世纪","战国晚期至汉初","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","天地；治理；技艺；机心","外篇第12篇","cataloged; selected passages reviewed","含抱瓮丈人等故事；不能简单反技术。"
"P-0250-013","web","庄子·外篇·天道","庄子后继文本群体","classical_text","约前3至前2世纪","战国晚期至汉初","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","天道；无为；轮扁；语言","外篇第13篇","cataloged; selected passages reviewed","轮扁故事属于外篇，不应冒充庄周自述。"
"P-0250-014","web","庄子·外篇·天运","庄子后继文本群体","classical_text","约前3至前2世纪","战国晚期至汉初","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","变化；礼乐；孔子形象；自然","外篇第14篇","cataloged; selected passages reviewed","孔老对话是文学构造与学派论争。"
"P-0250-015","web","庄子·外篇·刻意","庄子后继文本群体","classical_text","约前3至前2世纪","战国晚期至汉初","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","修养；呼吸；恬淡；养神","外篇第15篇","cataloged; selected passages reviewed","修养术语可能反映后期传统。"
"P-0250-016","web","庄子·外篇·缮性","庄子后继文本群体","classical_text","约前3至前2世纪","战国晚期至汉初","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","性；知识；社会变化；修养","外篇第16篇","cataloged; selected passages reviewed","文本归类在现代研究中有分歧。"
"P-0250-017","web","庄子·外篇·秋水","庄子后学叙事群体","classical_text","约前3世纪","战国晚期","https://ctext.org/zhuangzi/floods-of-autumn/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","尺度；海河；惠施；拒仕","外篇第17篇","selected passages reviewed","近缘层；含多则最著名庄子故事但非内篇。"
"P-0250-018","web","庄子·外篇·至乐","庄子后学叙事群体","classical_text","约前3世纪","战国晚期","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","快乐；死亡；鼓盆；变化","外篇第18篇","selected passages reviewed","死亡叙事不能被用来要求现实中的人停止悲伤。"
"P-0250-019","web","庄子·外篇·达生","庄子后学叙事群体","classical_text","约前3世纪","战国晚期","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","技艺；专注；身体；风险","外篇第19篇","selected passages reviewed","多则技能故事适合观察实践智慧。"
"P-0250-020","web","庄子·外篇·山木","庄子后学叙事群体","classical_text","约前3世纪","战国晚期","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","有用无用；自处；风险；贫困","外篇第20篇","selected passages reviewed","同时展示有用与无用都可能招祸的张力。"
"P-0250-021","web","庄子·外篇·田子方","庄子后学叙事群体","classical_text","约前3世纪","战国晚期","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","修养；师友；神情；技艺","外篇第21篇","selected passages reviewed","人物故事可能源自弟子传说。"
"P-0250-022","web","庄子·外篇·知北游","庄子后学叙事群体","classical_text","约前3世纪","战国晚期","https://ctext.org/zhuangzi/zh","zh","A","public-domain ancient text; digital edition terms checked separately","public","","道；知识；身体；无言","外篇第22篇","selected passages reviewed","含老子化和修养传统影响。"
