source_id,ingest_mode,title,creator_or_speaker,source_type,first_published,date_of_event,url_or_local_reference,language,grade,rights_or_permission,privacy_level,content_checksum,coverage_topics,location_marker,transcript_status,notes
"P-1942-001","web","The Principle of Least Action in Quantum Mechanics","Richard P. Feynman","doctoral dissertation","1942","1942","https://www.richardfeynman.com/works/scientific.html","en","A","bibliographic record; dissertation/book copyright applies","public","","path integrals;least action;Princeton","official works list","cataloged","Original dissertation is not copied; use official bibliography and library edition."
"P-1945-001","web","Interaction with the Absorber as the Mechanism of Radiation","John A. Wheeler; Richard P. Feynman","journal article","1945","1945","https://doi.org/10.1103/RevModPhys.17.157","en","A","APS copyright; metadata and short quotations only","public","","electrodynamics;absorber theory;Wheeler","Rev. Mod. Phys. 17, 157-181","metadata verified","Primary technical source."
"P-1948-001","web","Space-Time Approach to Non-Relativistic Quantum Mechanics","Richard P. Feynman","journal article","1948-04-01","1948","https://journals.aps.org/rmp/issues/20/2","en","A","APS copyright; metadata and abstract/short quotations only","public","","path integrals;quantum mechanics;alternative representations","Rev. Mod. Phys. 20, 367-387","metadata and summary verified","Primary technical source."
"P-1949-001","web","The Theory of Positrons","Richard P. Feynman","journal article","1949-09-15","1949","https://journals.aps.org/pr/abstract/10.1103/PhysRev.76.749","en","A","APS copyright; metadata and abstract/short quotations only","public","","positrons;space-time picture;boundary conditions","Phys. Rev. 76, 749-759","abstract verified","Primary technical source."
"P-1949-002","web","Space-Time Approach to Quantum Electrodynamics","Richard P. Feynman","journal article","1949-09-15","1949","https://journals.aps.org/pr/issues/76/6","en","A","APS copyright; metadata and short quotations only","public","","QED;Feynman diagrams;calculation","Phys. Rev. 76, 769-789","metadata verified","Primary Nobel-related technical source."
"P-1950-001","web","Mathematical Formulation of the Quantum Theory of Electromagnetic Interaction","Richard P. Feynman","journal article","1950","1950","https://doi.org/10.1103/PhysRev.80.440","en","A","APS copyright; metadata and short quotations only","public","","QED;diagrammatic rules;mathematical formulation","Phys. Rev. 80, 440-457","metadata verified","Primary technical source."
"P-1953-001","web","Atomic Theory of the Lambda Transition in Helium","Richard P. Feynman","journal article","1953-09-15","1953","https://journals.aps.org/pr/issues/91/6","en","A","APS copyright; metadata and short quotations only","public","","liquid helium;lambda transition;condensed matter","Phys. Rev. 91, 1291-1301","metadata verified","Primary technical source."
"P-1953-002","web","Atomic Theory of Liquid Helium Near Absolute Zero","Richard P. Feynman","journal article","1953-09-15","1953","https://journals.aps.org/pr/issues/91/6","en","A","APS copyright; metadata and short quotations only","public","","superfluidity;liquid helium;quantum many-body","Phys. Rev. 91, 1301-1308","metadata verified","Primary technical source."
"P-1956-001","web","Energy Spectrum of the Excitations in Liquid Helium","Richard P. Feynman; Michael Cohen","journal article","1956-06-01","1956","https://journals.aps.org/pr/abstract/10.1103/PhysRev.102.1189","en","A","APS copyright; metadata and abstract/short quotations only","public","","liquid helium;rotons;variational method;correlations","Phys. Rev. 102, 1189","abstract verified","Shows model revision when calculated roton energy was too high."
"P-1958-001","web","Theory of the Fermi Interaction","Richard P. Feynman; Murray Gell-Mann","journal article","1958","1957-1958","https://doi.org/10.1103/PhysRev.109.193","en","A","APS copyright; metadata and short quotations only","public","","weak interaction;beta decay;V-A","Phys. Rev. 109, 193-198","metadata verified","Credit must be situated alongside Sudarshan-Marshak and experimental context."
"P-1960-001","web","There's Plenty of Room at the Bottom","Richard P. Feynman","APS talk transcript","1960-02","1959-12-29","https://calteches.library.caltech.edu/1976/","en","A","Caltech usage policy; link and short quotations only","public","","scaling;nanotechnology;feasibility;physical limits","Engineering and Science 23(5), 22-36","full page spot-checked","Primary talk transcript; later origin myths need qualification."
"P-1961-001","web","Feynman's Caltech introductory physics lecture notes","Richard P. Feynman","handwritten lecture notes","1961-1964","1961-1964","https://www.feynmanlectures.caltech.edu/Notes.html","en","A","Caltech copyright; view online; do not redistribute scans","public","","teaching preparation;rejected ideas;lesson design","folders 39.9, 40.3, 40.4, 40.5","collection description verified","611 pages of planning notes; not all pages analyzed in v0.1."
"P-1963-001","web","The Feynman Lectures on Physics, Volumes I-III","Richard P. Feynman; Robert B. Leighton; Matthew Sands","lecture course / textbook","1963-1966","1961-1963","https://www.feynmanlectures.caltech.edu/","en","A","Caltech copyright; online reading permitted; no bulk copying","public","","mechanics;electromagnetism;quantum mechanics;physical reasoning","Vol. I-III; chapter-level locations","selected chapters analyzed","Core teaching source; edited from lectures, not verbatim."
"P-1963-002","web","Feynman's Preface to The Feynman Lectures on Physics","Richard P. Feynman","preface","1963-06","1963","https://www.feynmanlectures.caltech.edu/III_91.html","en","A","Caltech copyright; short quotations only","public","","teaching goals;course limitations;student learning","Feynman's Preface","full page analyzed","Important self-critique of the course."
"P-1963-003","web","Feynman's Tips on Physics: reconstructed review lectures","Richard P. Feynman; Michael Gottlieb; Ralph Leighton","review lectures","2005","1961-1963","https://www.feynmanlectures.caltech.edu/TIPS_91.html","en","A","copyrighted; online reading; short quotations only","public","","problem solving;review lectures;student difficulty","Introduction and review lectures","selected sections analyzed","Use for explicit problem-solving material, not internet folklore."
